iteration,moves
1,23839
2,29976
3,35482
4,23510
5,25726
6,51447
7,21953
8,33976
9,24394
10,12027
11,1562
12,8759
13,5970
14,11427
15,21313
16,3410
17,13920
18,4841
19,54728
20,1437
21,27579
22,41909
23,9623
24,18405
25,10334
26,4283
27,22766
28,3160
29,13066
30,39290
31,8988
32,13772
33,45036
34,50841
35,6421
36,28387
37,23745
38,48843
39,9278
40,41799
41,35336
42,10969
43,22454
44,27435
45,17428
46,8491
47,6707
48,36749
49,8721
50,14134
51,9189
52,32058
53,3027
54,2470
55,16548
56,5824
57,28245
58,31005
59,28659
60,15101
61,26911
62,11767
63,7618
64,6969
65,37622
66,18147
67,7303
68,27464
69,20201
70,30667
71,26149
72,11436
73,16385
74,22338
75,6484
76,14122
77,31980
78,16738
79,5729
80,7831
81,11810
82,14023
83,18925
84,6515
85,10255
86,23932
87,26366
88,15107
89,12685
90,12192
91,29086
92,33863
93,10193
94,33115
95,19102
96,29052
97,29237
98,8517
99,14173
100,14715
101,20506
102,17835
103,6270
104,19300
105,1933
106,13925
107,16337
108,25513
109,9027
110,14021
111,10903
112,25080
113,26046
114,45501
115,1207
116,11158
117,7152
118,6823
119,13596
120,8904
121,13151
122,13349
123,9205
124,7478
125,18215
126,28824
127,8298
128,17517
129,74377
130,17309
131,20971
132,8814
133,11804
134,33682
135,18378
136,7450
137,21832
138,8613
139,13000
140,16890
141,42272
142,9283
143,20506
144,14026
145,8541
146,16892
147,5250
148,26449
149,12550
150,11355
151,8000
152,23600
153,9765
154,26991
155,27959
156,15191
157,14352
158,15495
159,12379
160,8483
161,25365
162,3126
163,19352
164,12243
165,15012
166,35616
167,25812
168,57121
169,64565
170,6450
171,28159
172,4230
173,56900
174,18259
175,6351
176,5775
177,12644
178,18663
179,18291
180,31660
181,7818
182,8392
183,44544
184,14195
185,33422
186,36932
187,11841
188,25521
189,5606
190,12306
191,43662
192,53173
193,19958
194,16165
195,12338
196,43640
197,18172
198,29418
199,19759
200,9548
201,16714
202,8427
203,25944
204,7936
205,22265
206,10687
207,41754
208,70870
209,25202
210,4792
211,57196
212,44070
213,36632
