iteration,moves
1,12269
2,29899
3,21060
4,15201
5,70523
6,83608
7,38749
8,36637
9,100696
10,146011
11,51670
12,36655
13,115494
14,68379
15,19337
16,208815
17,140969
18,157938
19,9455
20,17262
21,308058
22,26958
23,122593
24,44872
25,5407
26,1332
27,54943
28,46775
29,220424
30,26493
31,17022
32,17081
33,6304
34,27363
35,23886
36,27456
37,156630
38,72660
39,43580
40,314891
41,20664
42,9213
43,43150
44,85269
45,13001
46,22424
47,120181
48,14626
49,5952
50,64535
51,28747
52,675
53,5031
54,2122
55,23207
56,150577
57,15062
58,32679
59,5693
60,45660
61,15947
62,246004
63,4607
64,60498
65,175366
66,167651
67,32749
68,16352
69,7492
70,98402
71,50141
72,180770
73,92779
74,89613
75,23018
76,131718
77,54419
78,38623
79,65880
80,91266
81,278979
82,56823
83,5478
84,45553
85,33205
86,71329
87,56522
88,14545
89,3367
90,18830
91,248798
92,40740
93,63070
94,148495
95,138997
96,112562
97,90688
98,49606
99,69139
100,70869
101,55825
102,184351
103,83971
104,64671
105,112105
106,110680
107,76851
108,21542
109,221278
110,64214
111,13503
112,178365
113,104179
114,22755
115,39913
116,94019
117,2482
118,221067
119,15227
120,32041
121,5811
122,135137
123,6765
124,32407
125,97163
126,104545
127,66889
128,63734
129,114735
130,38310
131,33968
132,101652
133,64656
134,12570
135,55241
136,8026
137,30896
138,99954
139,2335
140,12947
141,72004
142,13970
143,50702
144,8788
145,67195
146,21266
147,182948
148,1503
149,42597
150,82046
151,71690
152,6411
153,357642
154,179745
155,154857
156,2056
157,34075
158,2981
159,533
160,60539
161,157431
162,44894
163,15884
164,42397
165,3199
166,62217
167,101865
168,148566
169,50624
170,98007
171,1914
172,297180
173,162847
174,122608
175,33070
176,36469
177,23261
178,68664
179,129545
180,21936
181,14686
182,4701
183,7650
184,107029
185,21842
186,45026
187,44588
188,45509
189,169774
190,34230
191,137425
192,36845
193,15222
194,15286
195,2704
196,13681
197,92071
198,68246
199,14367
200,77163
201,22480
202,137534
203,11098
204,6582
205,1809
206,206931
207,5553
208,74139
209,7584
210,70086
211,151150
212,24344
213,32711
214,61276
215,106892
216,110218
217,117366
218,96179
219,100599
220,104980
221,97703
222,7639
223,549299
224,9137
225,173753
226,20239
227,2621
228,100116
229,16102
230,79201
231,91736
