iteration,moves
1,7825
2,3859
3,14361
4,11377
5,14837
6,13921
7,215
8,12115
9,9684
10,4965
11,2365
12,3584
13,1937
14,3508
15,5272
16,23642
17,4032
18,14543
19,8558
20,3378
21,6950
22,8410
23,4145
24,1891
25,4629
26,8283
27,2304
28,298
29,5180
30,7458
31,4563
32,4600
33,7120
34,2921
35,20906
36,2005
37,752
38,6015
39,5624
40,7212
41,1902
42,60143
43,3327
44,5546
45,5996
46,9784
47,6242
48,5287
49,15754
50,9495
51,8346
52,1274
53,1711
54,11032
55,2518
56,1960
57,35231
58,3918
59,5303
60,11046
61,7331
62,12380
63,7059
64,4704
65,2340
66,4700
67,10819
68,3548
69,14460
70,5155
71,1991
72,2310
73,5728
74,3341
75,8830
76,1128
77,7077
78,9534
79,25336
80,2493
81,7685
82,1135
83,8574
84,3395
85,9598
86,9628
87,57268
88,14363
89,25779
90,2712
91,11606
92,8786
93,1182
94,6877
95,19017
96,3213
97,10506
98,7817
99,18842
100,5758
101,5002
102,4029
103,6748
104,5010
105,4572
106,1883
107,1844
108,3410
109,3782
110,31070
111,7038
112,13650
113,8610
114,4272
115,6832
116,3965
117,4309
118,6383
119,2455
120,8941
121,6098
122,8979
123,12282
124,5414
125,1406
126,13578
127,7309
128,9304
129,2016
130,1718
131,7902
132,4623
133,6251
134,6796
135,4241
136,2538
137,3998
138,46517
139,14259
140,128039
141,16111
142,19960
143,5803
144,23881
145,3781
146,58702
147,25573
148,6276
149,372
150,15783
151,3673
152,12283
153,10734
154,6432
155,6120
156,2662
157,1169
158,7517
159,4100
160,5022
161,17290
162,1121
163,11473
164,10178
165,3828
166,856
167,4312
168,52364
169,6766
170,2973
171,9088
172,11397
173,9815
174,14433
175,7021
176,7041
177,7716
178,14522
179,9152
180,5683
181,5573
182,3223
183,22435
184,14540
185,6215
186,40807
187,944
188,9960
189,5794
190,1858
191,6115
192,4539
193,7260
194,4066
195,3130
196,9604
197,12617
198,22105
199,14033
200,8918
201,3862
202,1074
203,5578
204,9593
205,5922
206,18110
207,4616
208,16264
209,3823
210,2086
211,11036
212,33506
213,6971
214,46107
215,5616
216,15909
217,4730
218,10620
219,2592
220,13393
221,13701
222,22519
223,2565
224,5362
225,2836
226,2081
227,13480
228,8799
229,3642
230,8123
231,6326
232,10212
233,883
234,8057
235,3496
236,18461
237,10807
238,211471
239,8712
240,4373
241,5613
242,16888
243,3946
244,7075
245,6155
246,1589
247,48539
248,2610
249,12812
250,14641
251,8908
252,734
253,5019
254,9469
255,22818
256,2216
257,19179
258,4408
259,8138
260,4467
261,9443
262,11629
263,9204
264,11788
265,131154
266,722
267,10549
268,8922
269,1885
270,1751
271,12592
272,25692
273,7567
274,6052
275,3476
276,913
277,11147
278,9189
279,9401
280,5699
281,15757
282,6178
283,2240
284,9441
285,13565
286,6201
287,2602
288,41470
289,4453
290,2016
291,3566
292,5240
293,2782
294,2651
295,5705
296,31518
297,4464
298,6908
299,31458
300,3352
301,2286
302,9502
303,10632
304,5502
305,19401
306,6045
307,1893
308,648
309,5716
310,11403
311,3346
312,10812
313,3018
314,5513
315,6626
316,3029
317,10816
318,38057
319,12623
320,7908
321,6050
322,26219
323,20307
324,8347
325,1625
326,946
327,2397
328,15333
329,6371
330,6986
331,9589
332,4842
333,9089
334,4494
335,9498
336,9705
337,10318
338,16759
339,8826
340,3900
341,45540
342,3726
343,2741
344,1817
345,9429
346,3083
347,24696
348,17183
349,11596
350,17506
351,3040
352,10570
353,6408
354,8444
355,5339
356,8586
357,2211
358,14903
359,1047
360,25090
361,1326
362,3827
363,22768
364,19389
365,26352
366,204
367,6719
368,10309
369,18980
370,1037
371,7301
372,1206
373,994
374,2964
375,12554
376,12320
377,16403
378,9248
379,6588
380,4033
381,9903
382,4582
383,4548
384,4777
385,2605
386,1110
387,14169
388,27705
389,17100
390,1518
391,6724
392,10684
393,9583
394,5422
395,14643
396,13398
397,9776
398,4802
399,16205
400,8129
401,11873
402,5282
403,7470
404,8669
405,35318
406,1180
407,5681
408,1713
409,2656
410,3954
411,1231
412,1245
413,10560
414,3826
415,8495
416,28806
417,5207
418,570
419,4567
420,9620
421,8891
422,15276
423,6822
424,1632
425,19695
426,1583
427,2852
428,11602
429,13409
430,2296
431,7758
432,16045
433,6813
434,9887
435,11109
436,13717
437,759
438,3451
439,5460
440,26245
441,9554
442,1781
443,1620
