iteration,moves
1,16538
2,30692
3,987
4,12461
5,16145
6,5917
7,12204
8,6314
9,36019
10,34691
11,17345
12,4268
13,2262
14,13394
15,17188
16,5648
17,8074
18,12811
19,5085
20,17161
21,12176
22,7827
23,13752
24,4787
25,31490
26,36603
27,10745
28,6286
29,9924
30,36354
31,3774
32,2606
33,79858
34,13540
35,4609
36,10016
37,5943
38,14786
39,7290
40,24289
41,37016
42,10801
43,6177
44,3060
45,6932
46,24349
47,24213
48,25899
49,4242
50,15104
51,8329
52,40628
53,7048
54,10046
55,14462
56,12449
57,7026
58,4557
59,21738
60,11868
61,5068
62,3333
63,6322
64,35484
65,24251
66,15512
67,9161
68,7899
69,19558
70,37478
71,4470
72,8006
73,5887
74,26925
75,13722
76,3613
77,30880
78,42930
79,13757
80,20697
81,22253
82,20619
83,38109
84,67595
85,16722
86,4332
87,2471
88,20323
89,18740
90,6722
91,31622
92,3575
93,6224
94,3358
95,19935
96,6985
97,9404
98,15401
99,32943
100,16907
101,2301
102,4728
103,16543
104,10957
105,6215
106,30474
107,10009
108,9268
109,10711
110,8388
111,4303
112,20620
113,35250
114,4074
115,24622
116,31354
117,22930
118,6237
119,7867
120,43614
121,5420
122,3376
123,18456
124,7680
125,15532
126,19021
127,9320
128,22650
129,2417
130,12327
131,21397
132,25125
133,19169
134,64820
135,20312
136,5703
137,61622
138,21526
139,20897
140,5635
141,8726
142,36419
143,41555
144,15366
145,18900
146,4741
147,32559
148,22276
149,16225
150,11604
151,30777
152,26862
153,2334
154,47337
155,50037
156,13834
157,15282
158,6820
159,31778
160,34039
161,8302
162,8701
163,28329
164,18768
165,44177
166,2608
167,2362
168,6151
169,16160
170,29743
171,15773
172,3207
173,4849
174,14936
175,11913
176,32844
177,7853
178,16157
179,14301
180,41987
181,11705
182,8076
183,10728
184,6457
185,7422
186,20176
187,22950
188,3877
189,7795
190,36217
191,5349
192,8890
193,22756
194,12695
195,9747
196,35561
197,47697
198,17550
199,20085
200,4747
201,12048
202,46184
203,9085
204,18008
205,7978
206,27502
207,5209
208,1854
209,5179
210,13217
211,25235
212,5275
213,4770
214,24404
215,7121
216,46469
217,8289
218,5218
219,7000
220,10987
221,6603
222,22703
223,2758
224,39291
225,16273
226,7899
227,6191
228,5042
229,36416
230,10492
231,12479
232,16436
233,28572
234,15085
235,51039
236,15962
237,9346
238,6233
239,8913
240,30401
241,11399
242,21265
243,3323
244,11310
245,20916
246,50094
247,37529
248,10123
249,17696
250,3500
251,4611
252,21382
253,11132
254,21140
255,19075
256,6179
257,25775
258,19809
259,15751
260,1656
261,4448
262,6708
263,18221
264,16127
265,11879
266,3509
267,27807
268,34492
269,20700
270,21804
271,17126
272,42184
273,25643
274,7101
275,8828
276,3862
277,19616
278,5666
279,24513
280,8833
281,15880
282,2748
283,2347
284,15391
285,27111
286,35064
287,13160
288,6262
289,3759
290,14901
291,28944
292,7627
293,12188
294,20687
295,5085
296,18186
297,5583
298,17885
299,20630
300,16223
301,6796
302,1467
303,12685
304,7333
305,9418
306,13067
307,4634
308,46068
309,14610
310,56919
311,40689
312,9672
313,4926
314,6407
315,4984
316,23894
317,4280
318,58467
319,1695
320,8556
321,3543
322,32733
323,7016
324,32087
325,19624
326,13802
327,12975
328,32151
329,76935
330,34877
331,4195
332,16013
333,9772
334,15608
335,15065
336,7306
337,3936
338,5167
339,8900
340,18070
341,34944
342,6736
343,26656
344,2283
345,8084
346,13171
347,19788
348,51343
349,25466
350,39489
351,5246
352,4958
353,6043
354,12243
355,9701
356,53928
357,51685
358,12842
359,7688
360,13339
361,4763
362,11088
363,5546
364,22587
365,25323
366,5385
367,6664
368,34032
369,36949
370,6036
371,35046
372,9217
373,15417
374,29673
375,5709
376,12665
377,3403
378,21729
379,8176
380,4095
381,22985
382,18079
383,1191
384,30459
385,38758
386,27641
387,15326
388,7049
389,41112
390,25106
391,3884
392,3345
393,10644
394,10490
395,29840
396,10297
397,13718
398,4828
399,6443
400,7284
401,24533
402,30418
403,13283
404,7747
405,4986
406,15952
407,21814
408,7177
409,3959
410,46134
411,6613
412,7736
413,16543
414,6973
415,4712
416,18749
417,6548
418,16639
419,15032
420,11772
421,3446
422,2248
423,7182
424,13395
425,24064
426,66634
427,13241
428,2270
429,19867
430,3487
431,45916
432,6842
433,2193
434,8467
435,11855
436,24593
437,4591
438,6121
439,3360
440,2701
441,6824
442,34189
443,10725
444,2845
445,9060
446,11139
447,14455
448,10126
449,82587
450,9222
451,7811
452,5839
453,19006
454,20265
455,8056
456,5945
457,3369
458,13890
459,5389
460,7321
461,4752
462,13972
463,64683
464,11577
465,12111
466,19603
467,6265
468,10946
469,41888
470,20430
471,3946
472,25178
473,11104
474,59378
475,25922
476,16278
477,7244
478,1509
479,11841
480,13903
481,8988
482,7398
483,51518
484,11148
485,19429
486,3982
487,27607
488,7144
489,6841
490,18080
491,30140
492,5390
493,6155
494,5842
495,1245
496,6553
497,16534
498,19779
499,20391
500,12263
501,10516
502,46365
503,1349
504,2617
505,33327
506,3762
507,7155
508,13902
509,9317
510,15799
511,30460
512,12405
513,7832
514,6218
515,11593
516,19679
517,6605
518,1673
519,4427
520,32879
521,14621
522,13866
523,11758
524,6990
525,45129
526,9347
527,21234
528,7828
529,5973
530,9400
531,14424
532,13982
533,12931
534,7894
535,3413
536,13109
537,4009
538,21052
539,7055
540,5791
541,12341
542,26186
543,4326
544,3847
545,9449
546,11229
547,1723
548,7767
549,3798
550,60460
551,15642
552,25212
553,5717
554,19485
555,41809
556,33603
557,22326
558,23696
559,14423
560,6483
561,6711
562,7873
563,14129
564,6065
565,15375
566,11390
567,8774
568,14584
569,42256
570,9293
571,4736
572,13645
573,10707
574,13696
575,4361
576,46448
577,12872
578,3818
579,6379
580,85963
581,3304
582,8114
583,4367
584,17333
585,9183
586,14834
587,5612
588,4408
589,5214
590,14010
591,29168
592,9477
593,32273
594,1535
595,22441
596,36627
597,28129
598,8935
599,5850
600,13115
601,2287
602,1167
603,8703
604,10031
605,7349
606,6948
607,24061
608,9556
609,5709
610,6998
611,14723
612,24004
613,11714
614,30190
615,36264
616,5196
617,12083
618,12449
619,15676
620,10090
621,14995
622,15796
623,4270
624,11552
625,71639
626,13496
627,29948
628,7513
629,19982
630,12183
631,3122
632,8883
633,23943
634,1311
635,7601
636,13531
637,3226
638,59662
639,3191
640,3997
641,21616
642,17704
643,4942
644,23776
645,21755
646,102931
647,31123
648,10065
649,30066
650,3582
651,40073
652,13595
653,49509
654,11752
655,6196
656,40581
657,18175
658,29429
659,20120
660,6540
661,46955
662,38920
663,12445
664,21628
665,3756
666,11068
667,39191
668,6617
669,1123
670,12597
671,2462
672,4770
673,21595
674,5560
675,75414
676,15234
677,9690
678,12294
679,37045
680,1638
681,24131
682,3171
683,28424
684,22971
685,23801
686,4988
687,19806
688,38918
689,10491
690,1885
691,23468
692,1669
693,10875
694,12520
695,5159
696,38394
697,1957
698,6457
699,10129
700,36021
701,8855
702,13443
703,7153
704,67276
705,14185
706,17997
707,37585
708,22295
709,16529
710,9359
711,29294
712,7820
713,20748
714,5410
715,17287
716,15482
717,18135
718,4819
719,53786
720,5254
721,12709
722,24562
723,9817
724,14478
725,24630
726,14909
727,31906
728,9523
729,19918
730,14482
731,30317
732,17837
733,10969
734,12540
735,7374
736,17959
737,48233
738,21010
739,23005
740,26642
741,14537
742,17006
743,8205
744,15767
745,4979
746,45941
747,25597
748,7573
749,36460
750,4207
751,6520
752,4506
753,22104
754,22612
755,5343
756,12432
757,7511
758,15384
759,14447
760,11850
761,6276
762,6130
763,4223
764,8259
765,2828
766,35509
767,1418
768,7516
769,3234
770,14018
771,17597
772,8108
773,3727
774,27566
775,33071
776,32558
777,8279
778,33899
779,30323
780,4316
781,20163
782,11114
783,32819
784,21344
785,7670
786,19827
787,2560
788,18941
789,48961
790,3715
791,1441
792,1843
793,41438
794,14195
795,22519
796,17207
797,8979
798,6069
799,1694
800,4468
801,31103
802,13471
803,11440
804,7579
805,8744
806,17963
807,18577
808,4037
809,36351
810,14396
811,6018
812,24199
813,13072
814,17698
815,16547
816,12475
817,2313
818,13482
819,32388
820,46092
821,1628
822,18844
823,13632
824,24568
825,9027
826,12729
827,41517
828,11800
829,9359
830,12225
831,11327
832,8921
833,25400
834,7259
835,57085
836,42461
837,9809
838,2782
839,20085
840,18192
841,19878
842,12235
843,16988
844,1993
845,2756
846,7807
847,5128
848,26625
849,4088
850,29867
851,9578
852,22956
853,19760
854,38503
855,11492
856,10827
857,9253
858,37262
859,8842
860,3063
861,6731
862,11638
863,10295
864,7922
865,14212
866,7769
867,25141
868,9489
869,13836
870,24617
871,20852
872,63306
873,4350
874,30899
875,18285
876,6170
877,10701
878,7931
879,13602
880,26284
881,7341
882,10317
883,32170
884,16635
885,19202
886,26680
887,28674
888,36510
889,19796
890,30502
891,25360
892,14641
893,20739
894,41239
895,7912
896,11084
897,6223
898,8256
899,8103
900,6078
901,3549
902,5568
903,3985
904,34116
905,9053
906,16862
907,6127
908,52870
909,32035
910,9690
911,17238
912,8619
913,20768
914,4668
915,15508
916,50886
917,16252
918,3180
919,3197
920,10121
921,13455
922,6609
923,9825
924,2110
925,6736
926,1666
927,12704
928,9948
929,11924
930,39317
931,26480
932,9051
933,12085
934,8343
935,17121
936,10709
937,8802
938,6368
939,7817
940,12080
941,41167
942,47342
943,11304
944,5684
945,21946
946,646
947,33372
948,4318
949,13104
950,17322
951,12719
952,9691
953,20999
954,20812
955,14283
956,7903
957,6507
958,2842
959,44024
960,23950
961,7347
962,4282
963,8108
964,19392
965,9702
966,11159
967,10636
968,8098
969,11170
970,32376
971,33371
972,30295
973,14204
974,3238
975,31241
976,2342
977,6828
978,9349
979,30051
980,2462
981,18296
982,9284
983,10266
984,68487
985,5257
986,8680
987,11523
988,9647
989,20843
990,34296
991,26965
992,2331
993,1940
994,4999
995,16807
996,4578
997,13957
998,8273
999,12673
1000,3169
1001,16768
1002,21145
1003,4834
1004,12399
1005,30950
1006,5826
1007,7124
1008,6965
1009,7266
1010,4245
1011,23638
1012,31128
1013,7760
1014,33750
1015,20810
1016,1314
1017,23399
1018,22063
1019,11085
1020,38853
1021,14817
1022,17948
1023,9707
1024,4165
1025,10800
1026,10538
1027,4962
1028,10179
1029,9712
1030,12291
1031,10587
1032,52575
1033,6688
1034,23096
1035,7285
1036,1518
1037,9880
1038,6164
1039,2018
1040,18589
1041,3566
1042,13234
1043,18689
1044,21367
1045,6809
1046,69993
1047,25882
1048,14787
1049,10658
1050,1347
1051,10369
1052,4452
1053,11230
1054,5036
1055,6214
1056,7862
1057,24350
1058,63996
1059,17861
1060,10398
1061,83725
1062,20723
1063,40660
1064,24979
1065,37293
1066,2402
1067,2140
1068,16654
1069,7027
1070,16252
1071,17579
1072,4544
1073,5885
1074,22602
1075,14103
1076,13013
1077,23880
1078,16562
1079,12717
1080,15222
1081,4562
1082,4175
1083,1732
1084,4101
1085,12466
1086,18964
1087,9758
1088,16554
1089,2508
1090,7381
1091,12685
1092,25029
1093,13050
1094,19662
1095,7428
1096,6537
1097,10692
1098,13911
1099,16466
1100,8539
1101,2981
1102,2637
1103,6886
1104,3949
1105,3558
1106,1407
1107,26473
1108,14753
1109,13088
1110,16195
1111,5732
1112,35196
1113,8256
1114,3717
1115,26141
1116,3029
1117,15228
1118,13246
1119,9529
1120,16300
1121,10398
1122,22876
1123,11395
1124,8929
1125,23068
1126,5187
1127,17426
1128,17983
1129,6224
1130,10323
1131,5750
1132,5401
1133,5025
1134,49991
1135,9117
1136,10375
1137,5925
1138,12183
1139,30155
1140,26370
1141,14846
1142,10764
1143,35972
1144,23901
1145,8164
1146,14943
1147,21842
1148,2323
1149,9872
1150,8984
1151,2227
1152,18913
1153,7610
1154,25569
1155,3513
1156,28782
1157,1283
1158,64375
1159,28782
1160,5183
1161,8003
1162,4459
1163,5041
1164,11952
1165,8377
1166,14911
1167,12986
1168,4222
1169,8592
1170,1955
1171,5107
1172,69473
1173,11710
1174,44570
1175,12988
1176,6793
1177,4776
1178,8927
1179,25712
1180,3382
1181,4063
1182,21361
1183,44018
1184,25550
1185,14695
1186,4000
1187,3271
1188,9940
1189,4034
1190,22585
1191,5708
1192,12810
1193,5414
1194,10208
1195,3783
1196,2661
1197,51196
1198,7052
1199,19317
1200,6513
1201,27434
1202,17107
1203,9800
1204,16456
1205,16320
1206,7307
1207,2174
1208,14523
1209,17585
1210,60831
1211,30488
1212,23859
1213,11752
1214,11333
1215,12248
1216,8662
1217,30437
1218,13101
1219,7781
1220,4179
1221,11929
1222,7054
1223,26066
1224,18815
1225,17013
1226,12671
1227,5309
1228,9553
1229,11155
1230,2586
1231,25996
1232,36805
1233,43104
1234,8752
1235,20642
1236,33875
1237,14477
1238,1866
1239,4326
1240,28990
1241,22386
1242,16099
1243,17151
1244,39637
1245,13607
1246,1478
1247,17689
1248,5454
1249,14332
1250,37161
1251,8604
1252,13722
1253,64195
1254,28779
1255,4733
1256,5442
1257,38477
1258,31410
1259,21767
1260,11271
1261,3891
1262,25586
1263,44593
1264,13629
1265,4772
1266,3763
1267,46184
1268,9199
1269,27959
1270,9112
1271,6974
1272,14030
1273,16870
1274,4219
1275,6029
1276,3493
1277,5289
1278,19239
1279,5678
1280,15288
1281,13314
1282,28447
1283,9272
1284,26347
1285,31478
1286,24610
1287,28601
1288,30697
1289,4319
1290,13467
1291,24661
1292,2895
1293,11269
1294,31643
1295,71998
1296,14592
1297,18405
1298,3034
1299,14089
1300,6711
1301,2714
1302,12806
1303,17333
1304,63511
1305,13407
1306,18598
1307,38264
1308,7854
1309,7827
1310,22269
1311,5325
1312,1739
1313,14824
1314,41395
1315,19611
1316,4717
1317,3114
1318,4397
1319,4279
1320,7342
1321,21242
1322,2271
1323,16624
1324,40564
1325,7263
1326,27818
1327,9892
1328,22500
1329,3131
1330,42320
1331,13049
1332,35998
1333,19486
1334,6855
1335,8218
1336,3933
1337,3295
1338,3801
1339,9236
1340,19091
1341,8722
1342,60806
1343,15024
1344,5305
1345,45836
1346,33261
1347,11373
1348,5238
1349,10983
1350,4895
1351,10510
1352,32176
1353,14473
1354,10390
1355,12073
1356,18380
1357,24557
1358,11032
1359,5335
1360,7339
1361,6456
1362,26502
1363,35786
1364,7379
1365,39015
1366,5249
1367,21170
1368,2176
1369,41357
1370,20413
1371,7277
1372,2617
1373,29502
1374,30873
1375,8505
1376,26580
1377,11983
1378,14756
1379,8765
1380,2424
1381,18690
1382,13545
1383,24081
1384,14273
1385,11054
1386,15046
1387,24154
1388,3657
1389,8283
1390,4746
1391,10295
1392,6102
1393,12966
1394,4786
1395,21235
1396,9465
1397,15591
1398,9546
1399,3410
1400,2413
1401,12150
1402,28387
1403,3682
1404,4329
1405,15468
1406,12319
1407,1650
1408,4707
1409,8804
1410,23935
1411,19505
1412,1030
1413,4014
1414,7337
1415,31917
1416,22065
1417,25197
1418,9844
1419,12306
1420,11421
1421,32368
1422,15787
1423,8608
1424,6186
1425,13055
1426,38743
1427,3191
1428,5818
1429,2638
1430,35081
1431,14982
1432,31306
1433,27629
1434,14242
1435,3059
1436,13580
1437,7060
1438,11097
1439,33535
1440,15653
1441,22707
1442,10381
1443,11926
1444,7572
1445,11679
1446,29412
1447,4935
1448,15591
1449,23025
1450,20317
1451,43996
1452,18951
1453,6445
1454,5925
1455,3388
1456,49368
1457,11730
1458,9124
1459,34103
1460,7195
1461,14424
1462,44841
1463,18879
1464,18759
1465,36670
1466,10591
1467,13741
1468,34843
1469,12608
1470,11317
1471,10739
1472,43752
1473,5390
1474,20783
1475,8311
1476,7235
1477,14500
1478,28625
1479,19497
1480,2332
1481,2311
1482,5522
1483,24417
1484,8037
1485,51550
1486,4500
1487,29251
1488,13050
1489,2900
1490,17221
1491,3421
1492,4233
1493,12683
1494,6685
1495,17644
1496,9285
1497,21986
1498,28056
1499,12121
1500,5297
1501,7181
1502,9743
1503,28315
1504,10818
1505,22575
1506,14304
1507,36784
1508,14739
1509,22537
1510,8405
1511,24139
1512,19220
1513,11546
1514,1419
1515,7443
1516,3836
1517,31851
1518,37836
1519,12077
1520,4996
1521,2519
1522,26455
1523,54180
1524,7259
1525,16472
1526,40267
1527,20904
1528,11227
1529,42302
1530,8082
1531,48924
1532,27054
1533,14271
1534,34287
1535,20599
1536,4107
1537,38352
1538,20205
1539,4128
1540,19033
1541,2660
1542,20491
1543,7875
1544,5691
1545,4019
1546,43946
1547,17866
1548,57542
1549,30186
1550,10949
1551,9942
1552,29214
1553,9239
1554,9907
1555,3432
1556,19034
1557,8286
1558,19363
1559,13330
1560,27889
1561,27530
1562,8839
1563,22348
1564,27706
1565,18230
1566,20452
1567,12215
1568,2551
1569,11045
1570,17786
1571,34623
1572,16422
1573,19696
1574,54120
1575,25445
1576,1389
1577,20982
1578,8082
1579,11255
1580,8039
1581,11681
1582,69470
1583,14802
1584,17433
1585,17779
1586,10716
1587,4349
1588,7961
1589,11844
1590,7823
1591,30865
1592,9193
1593,22527
1594,4961
1595,10635
1596,20815
1597,7122
1598,21283
1599,15184
1600,7295
1601,9925
1602,1506
1603,17433
1604,2790
1605,2504
1606,1591
1607,7975
1608,6343
1609,23882
1610,22600
1611,14072
1612,1525
1613,9435
1614,29374
1615,40196
1616,42723
1617,34292
1618,5672
1619,26620
1620,28763
1621,5232
1622,32198
1623,9004
1624,9733
1625,17113
1626,7915
1627,7173
1628,31175
1629,16970
1630,25738
1631,9057
1632,18865
1633,5153
1634,4640
1635,7043
1636,29615
1637,12218
1638,13150
1639,21077
1640,3737
1641,18521
1642,13202
1643,59737
1644,51778
1645,16173
1646,8989
1647,13059
1648,47609
1649,11891
1650,8724
1651,8777
1652,9095
1653,11933
1654,28238
1655,16354
1656,5292
1657,23116
1658,9628
1659,5743
1660,7821
1661,19329
1662,8599
1663,4736
1664,13856
1665,1550
1666,32340
1667,17766
1668,16172
1669,9272
1670,58357
1671,5457
1672,28769
1673,6513
1674,6487
1675,32312
1676,3612
1677,14406
1678,15385
1679,2445
1680,10597
1681,7002
1682,31577
1683,14718
1684,3410
1685,7870
1686,17118
1687,7458
1688,42282
1689,19064
1690,1676
1691,3379
1692,53594
1693,25440
1694,9306
1695,7278
1696,25847
1697,6693
1698,43957
1699,18852
1700,19355
1701,9034
1702,44643
1703,9229
1704,39039
1705,6287
1706,5586
1707,16580
1708,15187
1709,4605
1710,19211
1711,15066
1712,5295
1713,37049
1714,22145
1715,39715
1716,21591
1717,18257
1718,1586
1719,18217
1720,26034
1721,7129
1722,10786
1723,21113
1724,27797
1725,24201
1726,10935
1727,15313
1728,13466
1729,6242
1730,17573
1731,1579
1732,35302
1733,4262
1734,32970
