iteration,moves
1,7781
2,2329
3,11457
4,1949
5,13171
6,3383
7,7354
8,3415
9,2078
10,3681
11,4872
12,9833
13,4775
14,5047
15,5923
16,6174
17,6546
18,4900
19,6510
20,1381
21,4797
22,7655
23,5196
24,13438
25,3755
26,3547
27,4478
28,5268
29,11771
30,995
31,2560
32,2524
33,445
34,8243
35,4664
36,921
37,10715
38,2621
39,1120
40,8071
41,3427
42,3730
43,773
44,6995
45,4149
46,5349
47,6039
48,6873
49,6418
50,524
51,5065
52,1084
53,11237
54,3457
55,8594
56,16473
57,960
58,9026
59,3441
60,6012
61,1460
62,1684
63,8364
64,2073
65,9840
66,12470
67,11812
68,1485
69,1444
70,6772
71,3778
72,2598
73,3864
74,1065
75,568
76,2608
77,6292
78,7408
79,2298
80,432
81,3033
82,1301
83,7925
84,2599
85,10456
86,7926
87,5787
88,2197
89,2367
90,10088
91,2808
92,22299
93,6766
94,2668
95,3699
96,5005
97,8859
98,11036
99,897
100,3185
101,10607
102,3966
103,7013
104,1638
105,3751
106,1474
107,8100
108,1013
109,2859
110,6112
111,2886
112,7704
113,5251
114,6638
115,1121
116,1795
117,9032
118,9600
119,2563
120,2854
